0,0.9750783290698246
1,1.1962282309225386E-5
2,3.051917658550285E-6
3,4.9332842034705005E-5
4,1.298503982742616E-4
5,2.1946232566526225E-4
6,2.766420744775566E-4
7,2.675022173288001E-4
8,1.810044804347044E-4
9,3.181777108727732E-5
10,1.3913967873852712E-4
11,2.635158139558183E-4
12,2.6621427892389166E-4
13,1.2939053232849732E-4
14,1.297337579552714E-4
15,6.729434339034536E-4
16,0.0016937375374748952
17,0.0028036617560582497
18,0.0033604673787289673
19,0.003277955413858509
20,0.0028545379111501595
21,0.0023492208695755495
22,0.00188388488818763
23,0.0014943290149765642
24,0.0011801197060616817
25,9.296811216163714E-4
26,7.301379561692536E-4
27,5.704211095884856E-4
28,4.41828100375366E-4
29,3.377595266990871E-4
30,2.532705270454072E-4
31,1.8464939767843386E-4
32,1.290782372845578E-4
33,8.437717328689531E-5
34,4.8818621203192136E-5
35,2.0996036399836826E-5
36,2.664864227203134E-7
